Filename,TimeTaken(s)
Project2_Input_File1.csv,0.001479
Project2_Input_File2.csv,0.002381
Project2_Input_File3.csv,0.003417
Project2_Input_File4.csv,0.004476
Project2_Input_File5.csv,0.005022
Project2_Input_File6.csv,0.005851
Project2_Input_File7.csv,0.007222
Project2_Input_File8.csv,0.010918
Project2_Input_File9.csv,0.012859
Project2_Input_File10.csv,0.011439
Project2_Input_File11.csv,0.012848
Project2_Input_File12.csv,0.01479
Project2_Input_File13.csv,0.016674
Project2_Input_File14.csv,0.020248
Project2_Input_File15.csv,0.026313
