Filename,TimeTaken(s)
Project2_Input_File1.csv,0.044162
Project2_Input_File2.csv,0.118364
Project2_Input_File3.csv,0.316299
Project2_Input_File4.csv,0.570785
Project2_Input_File5.csv,0.895883
Project2_Input_File6.csv,1.38994
Project2_Input_File7.csv,2.19505
Project2_Input_File8.csv,3.08808
Project2_Input_File9.csv,4.46069
Project2_Input_File10.csv,6.85061
Project2_Input_File11.csv,9.1815
Project2_Input_File12.csv,11.6325
Project2_Input_File13.csv,15.1967
Project2_Input_File14.csv,19.3726
Project2_Input_File15.csv,25.6591
