Filename,TimeTaken(s)
Project2_Input_File1.csv,0.001668
Project2_Input_File2.csv,0.00269
Project2_Input_File3.csv,0.003986
Project2_Input_File4.csv,0.005313
Project2_Input_File5.csv,0.006275
Project2_Input_File6.csv,0.007139
Project2_Input_File7.csv,0.009342
Project2_Input_File8.csv,0.017007
Project2_Input_File9.csv,0.013348
Project2_Input_File10.csv,0.015942
Project2_Input_File11.csv,0.018576
Project2_Input_File12.csv,0.021007
Project2_Input_File13.csv,0.024184
Project2_Input_File14.csv,0.028252
Project2_Input_File15.csv,0.033669
