Filename,TimeTaken(s)
Project2_Input_File1.csv,0.044042
Project2_Input_File2.csv,0.118226
Project2_Input_File3.csv,0.314827
Project2_Input_File4.csv,0.571439
Project2_Input_File5.csv,0.89544
Project2_Input_File6.csv,1.38312
Project2_Input_File7.csv,2.1957
Project2_Input_File8.csv,3.13641
Project2_Input_File9.csv,4.50226
Project2_Input_File10.csv,6.69718
Project2_Input_File11.csv,9.04437
Project2_Input_File12.csv,11.616
Project2_Input_File13.csv,15.5061
Project2_Input_File14.csv,19.5627
Project2_Input_File15.csv,25.5237
