Standard Sqrt Time,Fast Inverse Sqrt Time
8.4e-08,1.66e-07
4.2e-08,8.4e-08
4.1e-08,8.3e-08
8.4e-08,8.4e-08
4.2e-08,4.1e-08
4.2e-08,8.3e-08
8.3e-08,8.4e-08
8.3e-08,8.3e-08
4.1e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,4.2e-08
8.3e-08,4.2e-08
4.1e-08,4.1e-08
4.1e-08,8.4e-08
4.1e-08,8.3e-08
4.1e-08,8.3e-08
4.2e-08,8.4e-08
4.2e-08,4.2e-08
4.2e-08,8.3e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
8.3e-08,4.1e-08
4.1e-08,4.2e-08
4.1e-08,4.2e-08
4.1e-08,4.1e-08
8.3e-08,8.4e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,4.2e-08
8.3e-08,4.2e-08
4.1e-08,4.1e-08
4.2e-08,4.2e-08
4.2e-08,4.1e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.1e-08
8.4e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,8.3e-08
8.3e-08,8.3e-08
4.1e-08,4.2e-08
4.1e-08,8.4e-08
8.3e-08,4.1e-08
4.2e-08,4.2e-08
4.2e-08,8.4e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
4.1e-08,8.3e-08
4.1e-08,1.25e-07
4.2e-08,4.1e-08
4.2e-08,8.3e-08
4.2e-08,8.4e-08
4.2e-08,4.1e-08
4.1e-08,8.3e-08
4.1e-08,4.1e-08
4.2e-08,4.2e-08
4.2e-08,8.3e-08
4.2e-08,8.4e-08
4.2e-08,8.3e-08
4.1e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,4.2e-08
8.3e-08,8.3e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.4e-08,4.2e-08
4.2e-08,8.4e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.3e-08,8.3e-08
4.1e-08,8.3e-08
4.1e-08,4.1e-08
4.1e-08,1.25e-07
8.3e-08,4.2e-08
4.2e-08,4.2e-08
8.3e-08,4.2e-08
4.1e-08,8.3e-08
4.1e-08,8.3e-08
8.3e-08,8.3e-08
4.2e-08,8.4e-08
4.2e-08,8.4e-08
4.2e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.1e-08
8.4e-08,8.4e-08
4.2e-08,4.2e-08
4.2e-08,4.1e-08
8.3e-08,4.1e-08
4.1e-08,8.4e-08
4.1e-08,8.4e-08
8.3e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.3e-08,4.2e-08
4.1e-08,4.2e-08
4.1e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
8.4e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,8.3e-08
8.3e-08,4.2e-08
4.1e-08,4.2e-08
4.1e-08,4.2e-08
8.3e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,4.1e-08
8.4e-08,4.1e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.3e-08,8.4e-08
4.1e-08,4.2e-08
4.1e-08,4.2e-08
8.3e-08,4.1e-08
4.2e-08,4.1e-08
8.3e-08,8.3e-08
4.1e-08,4.2e-08
4.1e-08,1.25e-07
8.3e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
8.4e-08,8.3e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.3e-08,4.2e-08
8.3e-08,1.25e-07
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,8.3e-08
4.1e-08,8.3e-08
4.1e-08,4.2e-08
4.1e-08,4.1e-08
8.3e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
8.4e-08,4.1e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.3e-08,4.1e-08
8.3e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,8.3e-08
4.1e-08,8.4e-08
4.1e-08,8.4e-08
8.3e-08,4.2e-08
4.2e-08,8.4e-08
8.4e-08,8.4e-08
4.2e-08,8.4e-08
4.2e-08,8.4e-08
4.1e-08,8.4e-08
4.1e-08,8.4e-08
8.3e-08,4.2e-08
4.2e-08,4.2e-08
8.4e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.1e-08,4.2e-08
4.1e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
8.4e-08,8.4e-08
4.2e-08,8.4e-08
8.3e-08,8.4e-08
4.1e-08,8.4e-08
4.1e-08,4.1e-08
8.3e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
8.4e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
1.25e-07,8.3e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
8.3e-08,4.1e-08
8.4e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.1e-08,4.1e-08
4.1e-08,8.4e-08
4.1e-08,8.4e-08
4.2e-08,8.4e-08
8.3e-08,8.4e-08
4.1e-08,8.4e-08
4.1e-08,8.4e-08
4.1e-08,8.4e-08
4.1e-08,8.4e-08
4.1e-08,8.4e-08
4.2e-08,8.4e-08
4.2e-08,1.25e-07
8.3e-08,4.1e-08
4.1e-08,4.1e-08
4.1e-08,4.1e-08
4.1e-08,4.1e-08
4.1e-08,4.1e-08
8.3e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.2e-08
8.3e-08,4.2e-08
4.1e-08,4.2e-08
4.1e-08,4.2e-08
4.1e-08,4.2e-08
4.1e-08,8.4e-08
4.1e-08,8.4e-08
8.3e-08,1.25e-07
8.3e-08,4.1e-08
4.1e-08,4.1e-08
8.3e-08,4.1e-08
4.2e-08,4.1e-08
8.4e-08,4.1e-08
4.2e-08,4.1e-08
8.3e-08,4.1e-08
4.1e-08,4.1e-08
8.3e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.1e-08,4.1e-08
4.1e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
8.3e-08,4.1e-08
4.1e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,4.2e-08
8.4e-08,4.2e-08
4.2e-08,1.25e-07
4.1e-08,8.3e-08
4.1e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
4.1e-08,8.3e-08
8.3e-08,8.3e-08
4.2e-08,8.3e-08
8.4e-08,8.3e-08
4.2e-08,8.3e-08
8.3e-08,8.3e-08
4.1e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.1e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,4.1e-08
4.2e-08,8.3e-08
8.3e-08,4.1e-08
4.1e-08,4.1e-08
8.3e-08,4.1e-08
4.2e-08,8.4e-08
4.2e-08,8.4e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,8.3e-08
4.2e-08,4.1e-08
4.1e-08,4.1e-08
4.1e-08,4.1e-08
8.3e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.1e-08,4.1e-08
4.1e-08,4.1e-08
4.1e-08,8.3e-08
4.1e-08,8.4e-08
8.3e-08,8.4e-08
4.2e-08,8.4e-08
8.4e-08,8.4e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.1e-08,4.1e-08
4.1e-08,4.1e-08
4.2e-08,4.1e-08
8.4e-08,4.1e-08
8.3e-08,4.1e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
8.4e-08,4.2e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
8.3e-08,4.2e-08
8.3e-08,4.2e-08
4.1e-08,4.2e-08
4.1e-08,4.2e-08
8.3e-08,8.4e-08
4.2e-08,8.4e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
8.3e-08,8.3e-08
4.1e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.4e-08,4.2e-08
4.2e-08,4.2e-08
8.3e-08,4.2e-08
4.1e-08,8.3e-08
4.1e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
8.4e-08,8.3e-08
4.2e-08,8.3e-08
8.3e-08,8.3e-08
4.1e-08,8.3e-08
4.1e-08,8.3e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.4e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.1e-08,4.2e-08
4.1e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.3e-08,4.2e-08
8.3e-08,4.2e-08
4.1e-08,4.2e-08
4.1e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,8.4e-08
4.2e-08,8.4e-08
8.4e-08,8.4e-08
4.2e-08,8.4e-08
4.2e-08,8.4e-08
8.3e-08,8.4e-08
8.3e-08,8.4e-08
4.1e-08,4.2e-08
4.1e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.4e-08,4.2e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
8.3e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
8.4e-08,4.2e-08
4.2e-08,4.2e-08
8.3e-08,4.2e-08
4.1e-08,4.2e-08
8.3e-08,8.4e-08
4.2e-08,8.4e-08
8.4e-08,8.4e-08
4.2e-08,8.3e-08
8.3e-08,8.3e-08
4.1e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,8.4e-08
4.2e-08,8.4e-08
4.2e-08,8.4e-08
4.2e-08,8.4e-08
4.2e-08,8.4e-08
8.4e-08,8.4e-08
4.2e-08,8.4e-08
4.2e-08,4.2e-08
1.25e-07,8.3e-08
4.1e-08,8.3e-08
4.1e-08,8.3e-08
8.3e-08,8.3e-08
8.3e-08,8.3e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
2.09e-07,4.2e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.2e-08
8.4e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
8.3e-08,8.3e-08
4.1e-08,8.4e-08
4.1e-08,4.2e-08
4.1e-08,8.4e-08
4.1e-08,8.4e-08
8.3e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
8.3e-08,4.2e-08
8.3e-08,4.2e-08
4.1e-08,4.2e-08
4.1e-08,8.3e-08
4.1e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
8.4e-08,4.1e-08
4.1e-08,4.1e-08
4.1e-08,4.1e-08
4.1e-08,4.1e-08
8.3e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,8.3e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.4e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.3e-08,4.2e-08
4.1e-08,8.3e-08
4.1e-08,8.3e-08
4.1e-08,8.3e-08
4.1e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.1e-08
8.4e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,8.3e-08
4.2e-08,8.3e-08
8.3e-08,4.2e-08
4.1e-08,4.2e-08
4.1e-08,4.1e-08
4.1e-08,4.1e-08
4.1e-08,4.2e-08
8.3e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,4.1e-08
4.2e-08,4.2e-08
8.3e-08,4.2e-08
4.1e-08,4.2e-08
4.1e-08,8.3e-08
4.1e-08,8.3e-08
4.1e-08,8.4e-08
8.3e-08,8.4e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.3e-08,4.2e-08
4.1e-08,8.3e-08
8.3e-08,4.1e-08
4.1e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,8.3e-08
8.4e-08,8.3e-08
4.2e-08,4.1e-08
8.3e-08,4.1e-08
4.1e-08,4.1e-08
8.3e-08,8.3e-08
4.2e-08,8.3e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.1e-08,8.4e-08
4.1e-08,8.4e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.3e-08,8.3e-08
4.1e-08,4.1e-08
8.3e-08,4.1e-08
4.2e-08,4.1e-08
8.4e-08,8.3e-08
4.2e-08,8.3e-08
8.3e-08,4.2e-08
4.1e-08,1.25e-07
8.3e-08,4.1e-08
4.2e-08,4.1e-08
8.4e-08,4.2e-08
4.1e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,1.25e-07
8.4e-08,8.4e-08
4.2e-08,4.2e-08
8.3e-08,1.25e-07
4.1e-08,4.2e-08
8.3e-08,4.2e-08
4.2e-08,4.2e-08
8.4e-08,8.4e-08
4.2e-08,1.25e-07
8.3e-08,8.3e-08
8.4e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,8.3e-08
8.4e-08,4.1e-08
4.2e-08,4.1e-08
4.2e-08,8.3e-08
4.2e-08,4.2e-08
4.1e-08,4.2e-08
4.1e-08,4.2e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
8.4e-08,4.2e-08
4.2e-08,4.2e-08
8.3e-08,8.4e-08
4.2e-08,8.3e-08
8.4e-08,4.1e-08
4.2e-08,8.3e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.1e-08
4.2e-08,4.1e-08
4.1e-08,8.3e-08
4.1e-08,4.2e-08
8.3e-08,8.3e-08
4.2e-08,4.1e-08
8.4e-08,4.1e-08
4.2e-08,4.1e-08
4.1e-08,4.2e-08
4.2e-08,4.2e-08
4.2e-08,4.2e-08
8.4e-08,4.2e-08
8.3e-08,8.3e-08
